K,err_rate
1,0.061224489795918366
3,0.061224489795918366
5,0.061224489795918366
7,0.061224489795918366
9,0.04081632653061224
11,0.04081632653061224
13,0.061224489795918366
15,0.061224489795918366
17,0.04081632653061224
19,0.04081632653061224
21,0.02040816326530612
23,0.02040816326530612
25,0.02040816326530612
27,0.02040816326530612
29,0.02040816326530612
1,0.01818181818181818
3,0.03636363636363636
5,0.01818181818181818
7,0.01818181818181818
9,0.0
11,0.0
13,0.01818181818181818
15,0.03636363636363636
17,0.03636363636363636
19,0.03636363636363636
21,0.01818181818181818
23,0.01818181818181818
25,0.01818181818181818
27,0.03636363636363636
29,0.03636363636363636
1,0.017241379310344827
3,0.06896551724137931
5,0.05172413793103448
7,0.05172413793103448
9,0.05172413793103448
11,0.017241379310344827
13,0.017241379310344827
15,0.0
17,0.017241379310344827
19,0.0
21,0.0
23,0.034482758620689655
25,0.05172413793103448
27,0.05172413793103448
29,0.05172413793103448
1,0.0392156862745098
3,0.0196078431372549
5,0.0784313725490196
7,0.0392156862745098
9,0.0196078431372549
11,0.0196078431372549
13,0.0196078431372549
15,0.0196078431372549
17,0.0196078431372549
19,0.0196078431372549
21,0.0
23,0.0392156862745098
25,0.0392156862745098
27,0.0392156862745098
29,0.0196078431372549
1,0.05454545454545454
3,0.05454545454545454
5,0.05454545454545454
7,0.05454545454545454
9,0.05454545454545454
11,0.05454545454545454
13,0.03636363636363636
15,0.03636363636363636
17,0.03636363636363636
19,0.03636363636363636
21,0.03636363636363636
23,0.03636363636363636
25,0.03636363636363636
27,0.05454545454545454
29,0.05454545454545454
1,0.06557377049180328
3,0.03278688524590164
5,0.04918032786885246
7,0.04918032786885246
9,0.06557377049180328
11,0.08196721311475409
13,0.06557377049180328
15,0.04918032786885246
17,0.06557377049180328
19,0.06557377049180328
21,0.04918032786885246
23,0.06557377049180328
25,0.06557377049180328
27,0.06557377049180328
29,0.06557377049180328
1,0.061224489795918366
3,0.02040816326530612
5,0.02040816326530612
7,0.02040816326530612
9,0.04081632653061224
11,0.04081632653061224
13,0.04081632653061224
15,0.04081632653061224
17,0.08163265306122448
19,0.061224489795918366
21,0.061224489795918366
23,0.04081632653061224
25,0.04081632653061224
27,0.061224489795918366
29,0.04081632653061224
1,0.02127659574468085
3,0.06382978723404255
5,0.06382978723404255
7,0.06382978723404255
9,0.06382978723404255
11,0.06382978723404255
13,0.02127659574468085
15,0.0425531914893617
17,0.0425531914893617
19,0.0425531914893617
21,0.0425531914893617
23,0.06382978723404255
25,0.06382978723404255
27,0.06382978723404255
29,0.06382978723404255
1,0.0196078431372549
3,0.058823529411764705
5,0.0392156862745098
7,0.0784313725490196
9,0.0784313725490196
11,0.0392156862745098
13,0.0392156862745098
15,0.058823529411764705
17,0.0784313725490196
19,0.058823529411764705
21,0.058823529411764705
23,0.058823529411764705
25,0.0784313725490196
27,0.0784313725490196
29,0.0784313725490196
1,0.06896551724137931
3,0.08620689655172414
5,0.06896551724137931
7,0.10344827586206896
9,0.05172413793103448
11,0.08620689655172414
13,0.034482758620689655
15,0.017241379310344827
17,0.05172413793103448
19,0.034482758620689655
21,0.034482758620689655
23,0.034482758620689655
25,0.034482758620689655
27,0.06896551724137931
29,0.06896551724137931
1,0.017543859649122806
3,0.05263157894736842
5,0.03508771929824561
7,0.03508771929824561
9,0.03508771929824561
11,0.05263157894736842
13,0.05263157894736842
15,0.05263157894736842
17,0.05263157894736842
19,0.05263157894736842
21,0.05263157894736842
23,0.05263157894736842
25,0.05263157894736842
27,0.05263157894736842
29,0.05263157894736842
1,0.031746031746031744
3,0.015873015873015872
5,0.015873015873015872
7,0.015873015873015872
9,0.015873015873015872
11,0.0
13,0.0
15,0.0
17,0.031746031746031744
19,0.031746031746031744
